업소명,위도,경도,업태,시군구,소  재  지,전화번호 ,주메뉴
성안감나무집,35.58421085,129.3060835,한식,중구,울산광역시 중구 성동길 88 1층 (성안동),052-243-5656,오리불고기/오리백숙
춘천참나무숯불닭갈비,35.5670663,129.3272403,기타,중구,울산광역시 중구 종가8길 26 4층 (복산동),052-294-9077,닭갈비
청한옥,35.56774874,129.3274957,냉면집,중구,울산광역시 중구 종가8길 35 2층 (복산동),052-294-3007,냉면
소라고래집,35.50346859,129.3804962,한식,남구,울산광역시 남구 장생포고래로 241 지상12층 (매암동),052-261-2661,고래고기요리
해수전복(울산점),35.5376126,129.3098511,한식,남구,울산광역시 남구 돋질로 37 (신정동(지상1층)),052-269-1522,전복요리
청해고래전문점,35.50359963,129.3811924,한식,남구,울산광역시 남구 장생포고래로 247-1 (매암동지상1층),052-269-5153,고래수육/고래요리
함양집 1호점,35.53991461,129.3142126,한식,남구,울산광역시 남구 중앙로208번길 12 (신정동지하1 지상12층),052-275-6947,비빔밥
차일품,35.54071551,129.3409205,한식,남구,울산광역시 남구 화합로178번길 13 (지상 23층 (삼산동),052-227-1571,한정식
진상가든,35.5368256,129.3321128,식육(숯불구이),남구,울산광역시 남구 왕생로 38 (달동),052-274-7800,소고기숯불구이
가무댕댕,35.5430159,129.2613177,경양식,남구,울산광역시 남구 대학로94번길 11 (무거동),052-224-3331,돈까스
(주)트레비브로이,35.53770848,129.3361462,경양식,남구,울산광역시 남구 삼산중로 46 (삼산동),052-258-0101,피자/스테이크
감자골감자탕,35.53621386,129.3359508,한식,남구,울산광역시 남구 달삼로 62 (달동지상1층),052-260-7997,해장국
이조한정식,35.53670225,129.3151578,한식,남구,울산광역시 남구 삼산로77번길 25 (달동),052-258-9000,한정식
구희락복국,35.53082502,129.3103175,복어취급,남구,울산광역시 남구 두왕로322번길 22 (신정동),052-274-4934,복국
육부촌,35.53564225,129.3128866,한식,남구,울산광역시 남구 삼산로55번길 19 지상1층 (신정동),052-269-2577,고등어쌈정식
물레가든,35.53967382,129.3311821,식육(숯불구이),남구,울산광역시 남구 왕생로 70 (달동),052-268-5555,갈비/생삼겹살
비송참치,35.54113733,129.346496,한식,남구,울산광역시 남구 정동로80번길 21 (삼산동),052-258-5295,한식/참치요리
도동참숯화로,35.5364405,129.3317194,한식,남구,울산광역시 남구 왕생로 33 (달동(지상1층)),052-261-8507,소고기/돼지고기/육회
코코로 롯데백화점 울산점,35.5373885,129.3393954,일식,남구,울산광역시 남구 삼산로 288 (삼산동),052-960-5518,정식
일식와사비,35.54447467,129.3441734,일식,남구,울산광역시 남구 정동로 117 (삼산동),052-271-3600,생선회/생선초밥/장어구이
해운대신대구탕,35.53865977,129.3284995,탕류(보신용),남구,울산광역시 남구 삼산로199번길 9 (달동(지상1층)),052-265-1132,대구탕
진곰탕,35.53901566,129.3302958,한식,남구,울산광역시 남구 번영로150번길 24 1층 (달동),052-257-6981,곰탕
어궁참가자미횟집,35.53684286,129.3314155,회집,남구,울산광역시 남구 달삼로23번길 14 (달동지상1층),052-260-6565,초밥/회
옥삼집,35.5421248,129.3073617,한식,남구,울산광역시 남구 월평로21번길 13 1층 (신정동),052-266-4373,전복죽/파전/옥삼주
다미헌,35.54066108,129.3396135,일식,남구,울산광역시 남구 화합로 178 지상2층 (삼산동),052-269-8634,초밥/회
서정횟집,35.53407595,129.3184184,일식,남구,울산광역시 남구 신정로33번길 26 (달동번지(지상1층)),052-276-1994,생선회
함경면옥,35.54355334,129.3246631,분식,남구,울산광역시 남구 돋질로183번길 24 (신정동번지(지상1층)),052-269-3200,냉면/갈비탕
김이장오리마을,35.5353203,129.2959923,한식,남구,울산광역시 남구 거마로14번길 2 (옥동지상 2층),052-258-5289,오리숯불구이
바다바라기,35.54326443,129.3460085,일식,남구,울산광역시 남구 돋질로 378 지상 1층 (삼산동),052-267-5300,회코스/물회/참치/대구탕
맛찬들왕소금구이울산삼산점,35.541553,129.3378071,식육(숯불구이),남구,울산광역시 남구 돋질로302번길 27-1 (삼산동번지 외 1필지),052-275-9813,삼겹살구이
달동쭈꾸미,35.5365406,129.3226638,한식,남구,울산광역시 남구 삼산로 141 (달동지상2층),052-222-9201,주꾸미돌솥밥정식
군불로,35.53439199,129.3371169,식육(숯불구이),남구,울산광역시 남구 삼산중로 8 달동1층 (달동),052-227-2766,흑염소구이
경복궁울산점(주)엔타스,35.53476798,129.3503302,한식,남구,울산광역시 남구 산업로 595 23층 (삼산동),052-274-7727,한정식/코스요리
김수사,35.54258648,129.3486333,일식,남구,울산광역시 남구 남중로94번길 4 (삼산동 (지상2층)),052-273-1900,복어요리
만리장성,35.53164887,129.3057274,중국식,남구,울산광역시 남구 문수로480번길 7 (신정동번지 외 4필지(지상2층)),052-291-0002,중식코스요리
우시산함양집,35.53647969,129.332848,한식,남구,울산광역시 남구 삼산로228번길 19 (달동번지(지상1층)),052-260-9060,비빔밥/묵채
합천돼지국밥,35.54348276,129.3522745,한식,남구,울산광역시 남구 남중로108번길 36 (삼산동번지(지상1층)),052-227-1189,돼지국밥/돈다리탕
삿뽀로울산점(주)엔타스,35.53476798,129.3503302,일식,남구,울산광역시 남구 산업로 595 23층 (삼산동),052-267-7727,일식코스요리
정칼국수,35.53937504,129.3331235,분식,남구,울산광역시 남구 왕생로62번길 11 (달동(지상 1 2층)),052-258-0220,칼국수/파전/만두
미소참치,35.53730561,129.3350024,회집,남구,울산광역시 남구 왕생로36번길 25 (지상 1층 (달동),052-266-9199,참치회/생선회
"콩,콩리",35.54368864,129.3319462,한식,남구,울산광역시 남구 돋질로239번길 4-18 1층 (달동),052-273-1885,두부찌게
고빈정 물회,35.54253363,129.3309011,기타,남구,울산광역시 남구 왕생로100번길 9 (달동번지(지상1층)),052-258-0807,물회/생선회
정자참가자미,35.5373119,129.3311794,회집,남구,울산광역시 남구 왕생로45번길 3 (달동번지(지상1층)),052-222-8814,가자미회
수라간,35.53950866,129.3367829,한식,남구,울산광역시 남구 삼산로 273 (삼산동번지(지상16층)),052-245-3937,한정식코스요리
산더미국수,35.52713633,129.308692,한식,남구,울산광역시 남구 두왕로 277 2층 (신정동),052-269-2688,국수/만두
썸원스키친,35.54601878,129.3300289,경양식,남구,울산광역시 남구 돋질로239번길 34 (삼산동),052-256-3520,파스타
울산복국,35.53572575,129.3312937,한식,남구,울산광역시 남구 달삼로 19 1층 (달동),052-258-0870,복국
만푸정솥뚜껑생고기,35.53128806,129.3084475,식육(숯불구이),남구,울산광역시 남구 두왕로324번길 1 지상12층 (신정동),052-266-3303,생삼겹살
전복궁,35.541792,129.3462022,한식,남구,울산광역시 남구 삼산로355번길 20 지상1층 (삼산동),052-267-7274,전복요리
미강식당,35.53322561,129.3306689,일식,남구,울산광역시 남구 번영로84번길 5 2~3층 (달동),052-258-5552,보쌈
할매네대구막창,35.53091856,129.3109924,키즈카페,남구,울산광역시 남구 수암로40번길 18 1층 (신정동),052-252-9870,막창/삼겹살
문수산상황삼계탕,35.54639723,129.3443912,한식,남구,울산광역시 남구 정동로 139 2층 (삼산동),052-227-2294,삼계탕
신라스테이 울산 카페(cafe),35.53740918,129.3291481,뷔페식,남구,울산광역시 남구 삼산로 200 (달동),052-901-9000,뷔페
산애들수암점,35.52729427,129.3214786,한식,남구,울산광역시 남구 수암로 132 2층 (야음동),052-257-7757,샤브샤브/샐러드바/스시
수북한 돼지국밥,35.54869933,129.2621356,한식,남구,울산광역시 남구 신복로6번길 16 1층 (무거동),052-256-5656,돼지국밥
리스덕,35.54447307,129.3189124,한식,남구,울산광역시 남구 신정로 144 1층 (신정동),052-265-2289,오리고기
고반식당 울산삼산점,35.53618131,129.3335761,한식,남구,울산광역시 남구 달삼로 41 1층 (달동),052-269-4555,삼겹살
(주)언양불고기,35.54629133,129.3273712,식육(숯불구이),남구,울산광역시 남구 월평로 205 12층 (삼산동),052-267-2645,소고기숯불구이
온누리,35.55247194,129.2561301,한식,남구,울산광역시 남구 신복로72번길 24-36 2층 (무거동),052-221-2558,명태찜/대구뽈찜
함양옻닭,35.53706086,129.3325717,탕류(보신용),남구,울산광역시 남구 왕생로40번길 6 2층 (달동),052-272-5733,옻닭
이감독참치,35.54178957,129.3458492,일식,남구,울산광역시 남구 삼산로355번길 19 (삼산동 지상1층),052-264-3737,참치회
(유)아웃백스테이크하우스코리아삼산점,35.53885796,129.332665,패밀리레스트랑,남구,울산광역시 남구 삼산로 231 울산 센트럴 자이 301~304호 (달동),052-256-1491,스테이크
가연장미역국정찬,35.5373161,129.3314194,한식,남구,울산광역시 남구 왕생로 43 1층 (달동),052-227-7738,정식
비앤비펍앤레스토랑,35.54023109,129.3473935,기타,남구,울산광역시 남구 남중로 65 2층 (삼산동),052-922-4000,뷔페
생생낙지,35.53921742,129.2562009,한식,남구,울산광역시 남구 대학로 35-1 1~2층 (무거동),052-212-6666,낙지볶음
미겸당,35.54589735,129.3250335,한식,남구,울산광역시 남구 번영로 234 지상1층 105-1호 (삼산동 팔레드상떼),052-256-6464,국수
용궁,35.50382069,129.4291923,중식,동구,울산광역시 동구 방어진순환도로 695 (일산동),052-236-8885,팔보채/탕수육/짬뽕
사랑채,35.49954852,129.4272326,한식,동구,울산광역시 동구 번덕로 10 (일산동),052-232-0046,청국장/강된장
꽃바위 동해반점,35.48381152,129.4132212,중식,동구,울산광역시 동구 꽃바위3길 63 (방어동),052-201-1912,탕수육/유산슬/볶음면
해송초밥,35.49640696,129.4283494,일식,동구,울산광역시 동구 해수욕장1길 4 (화정동),052-251-8883,초밥/대구탕/코스요리
나고야 일식,35.50283742,129.4288092,일식,동구,울산광역시 동구 방어진순환도로 683 (일산동),052-233-6009,초밥/전복뚝배기/코스요리
예원,35.5228587,129.4316894,한식,동구,울산광역시 동구 명덕로 10 (서부동),052-235-2127,탕수육/송이쇠고기덮밥
해와달,35.55892587,129.4566629,한식,동구,울산광역시 동구 동해안로 589 (주전동),052-252-9044,가정식백반등
외식마을,35.50883125,129.4254285,한식,동구,울산광역시 동구 진성14길 77 (전하동),052-236-5515,한식뷔페
봉창이칼국수,35.5216464,129.4313268,분식,동구,울산광역시 동구 방어진순환도로 899 (서부동),052-250-4570,칼국수등
조마루뼈다귀,35.53928152,129.424233,한식,동구,울산광역시 동구 방어진순환도로 1141 (서부동),052-252-2221,해장국등
대왕고래,35.49112688,129.4303603,한식,동구,울산광역시 동구 해수욕장9길 46 (일산동1 2층),052-236-8252,낙지전골/불낙전골등
일품 복.생아구,35.54056568,129.4265881,한식,동구,울산광역시 동구 미포4길 3 (동부동),052-233-8838,복매운탕/복지리등
굴사랑,35.4925801,129.427711,한식,동구,울산광역시 동구 등대로 9 (일산동),052-252-4888,굴국밥등
시골애,35.49231266,129.4279457,한식,동구,울산광역시 동구 등대로 11 (일산동),052-252-9992,낙지전골/불낙전골등
오리궁뎅이,35.56023262,129.4566877,한식,동구,울산광역시 동구 동해안로 600 (주전동),052-234-5252,한방오리백숙/한방양념오리
박가 부대찌개,35.50181709,129.4291927,한식,동구,울산광역시 동구 방어진순환도로 674 (일산동),052-201-7730,부대찌개등
곷돼지,35.49163067,129.4197669,한식,동구,울산광역시 동구 월봉7길 32 (화정동),052-236-9300,삼겹살등
황금 참숯화로구이,35.49504361,129.429393,한식,동구,울산광역시 동구 해수욕장3길 19 (일산동),052-201-6363,삼겹살/돼지갈비등
도원,35.50217729,129.4298489,한식,동구,울산광역시 동구 고늘로 6 (일산동),052-252-1113,소갈비살/돼지삼겹살
오리명가고향정,35.49882515,129.4294091,한식,동구,울산광역시 동구 일산진5길 32 (일산동),052-201-3800,오리구이/오리불고기
옹심이 칼국수,35.49236392,129.4311547,분식,동구,울산광역시 동구 해수욕장6길 9 (일산동),052-252-5590,칼국수등
영천한우마을,35.48828163,129.4235106,한식,동구,울산광역시 동구 방어진순환도로 512 (방어동),052-232-2323,갈비살등
아리아영계백숙삼계탕,35.49877364,129.4286844,한식,동구,울산광역시 동구 일산진5길 25 (일산동(1층)),052-201-1248,불고기쌈정식
금상첨화,35.49455724,129.4303515,한식,동구,울산광역시 동구 해수욕장10길 22 (일산동),052-252-1006,불고기/삼겹살등
삿뽀로(일산점),35.50093459,129.428991,일식,동구,울산광역시 동구 방어진순환도로 662 (일산동 3층),052-236-8777,초밥/우럭탕/코스요리
녹돈당,35.50093459,129.428991,한식,동구,울산광역시 동구 방어진순환도로 662 (일산동 2층),052-236-4777,불고기/삼겹살
칠향계원삼계탕,35.49196887,129.4314028,한식,동구,울산광역시 동구 해수욕장7길12 (일산동),052-251-9666,토종삼계탕/한방삼계탕등
명품,35.48022482,129.4156958,일식,동구,울산광역시 동구 남진길 63 (방어동),052-201-4040,모듬회등
삼교리 동치미 막국수,35.56057686,129.4556852,분식,동구,울산광역시 동구 동해안로 607 (주전동),052-235-3935,막국수/칼국수등
조마루뼈다귀,35.48222228,129.4169336,한식,동구,울산광역시 동구 꽃바위로 250 (방어동),052-252-3377,해장국등
채선당일산점,35.49902341,129.430191,뷔페,동구,울산광역시 동구 일산진3길 21 (일산동),052-232-6660,샤브샤브/월남쌈
라온누리,35.54384623,129.4260807,양식,동구,울산광역시 동구 옥류로 57 (동부동),052-251-2510,피자/파스타등
하림각,35.49537371,129.4284819,중식,동구,울산광역시 동구 해수욕장2길 20 (일산동),052-209-2000,탕수육/삼선짬뽕
"신사동보쌈,족발",35.49744321,129.429507,한식,동구,울산광역시 동구 보성길10 (일산동),052-252-8686,족발/보쌈
바보형제쭈꾸미(일산점),35.49196732,129.4322764,한식,동구,울산광역시 동구 해수욕장10길66(일산동),052-988-7789,쭈꾸미볶음
"놀부부대찌개,철판구이(일산점)",35.49736844,129.4288272,한식,동구,울산광역시 동구 일산진5길8B동(일산동),052-235-2060,부대찌개/철판구이
쿠우쿠우울산동구점,35.49793492,129.4298315,일식,동구,울산광역시 동구 일산진4길19(일산동 3층),052-252-6274,퓨전뷔페(초밥/샐러드)
초원정식육식당,35.54835338,129.4547347,한식,동구,울산광역시 동구 보밑길77(주전동),052-233-1515,삼겹살/갈비살
산청골,35.50855415,129.4262626,한식,동구,울산광역시 동구 진성13길55(전하동),052-233-8680,오리탕/오리불고기
곰솔한우프라자,35.49150261,129.4282143,한식,동구,울산광역시 동구 등대1길7(방어동),052-252-0012,돼지갈비/갈비탕
금천마을,35.49042834,129.4299977,한식,동구,울산광역시 동구 등대로40(방어동),052-201-1820,삼겹살/갈비살
왕궁삼계탕,35.51460165,129.432069,한식,동구,울산광역시 동구 방어진순환도로819(전하동),052-251-2818,전복삼계탕/옻닭삼계탕
한마음식당,35.51873997,129.4271125,한식,동구,울산광역시 동구 바드래1길30(전하동),052-236-5114,불고기정식/자장면/돈까스
동해반점,35.54020446,129.4258544,중식,동구,울산광역시 동구 옥류2길12(서부동),052-209-2588,볶음면/삼선짬뽕
이비가짬뽕,35.49142982,129.4284703,중식,동구,울산광역시 동구 등대로22(방어동),052-232-3318,짬뽕/탕수육
"토모참치,연어",35.52342287,129.4313625,일식,동구,울산광역시 동구 명덕6길11(서부동),052-236-5652,참치회/연어회
일산정 삼계탕,35.49524005,129.4298607,한식,동구,울산광역시 동구 해수욕장3길15(일산동),052-232-3939,삼계탕
메이퀸컨벤션웨딩홀,35.48796226,129.4141173,한식,동구,울산광역시 동구 문현1길15(방어동),052-252-0222,뷔페
순례국밥,35.47934842,129.4141142,한식,동구,울산광역시 동구 남진길80-12(방어동),052-235-7766,국밥
산내암소마을,35.49563224,129.428878,한식,동구,울산광역시 동구 해수욕장2길13(일산동),052-236-5706,갈비살등
따신족발,35.49150557,129.4270473,한식,동구,울산광역시 동구 등대로8-10(방어동),052-251-8825,족발
맛있는곰탕이야기,35.49985412,129.43039,한식,동구,울산광역시 동구 일산진2길26(일산동),052-251-1515,곰탕
오목미역,35.49842378,129.4292079,한식,동구,울산광역시 동구 보성길25(일산동),052-236-5007,미역국
한양횟집,35.62026876,129.4481717,한식,북구,울산광역시 북구 정자1길 87-1 (정자동),052-295-1212,생선회/매운탕
원지원,35.60942116,129.354612,한식,북구,울산광역시 북구 호계로 45 (창평동),052-295-0467,석쇠불고기/전통국밥
동해농장식당,35.57832137,129.3784185,한식,북구,울산광역시 북구 무룡로 177 (연암동),052-288-4545,멧돼지불고기/바베큐
상안가든,35.61999581,129.3351857,한식,북구,울산광역시 북구 동산길 22 (상안동 지상1층),052-295-0593,오리탕/오리불고기
정자가마솥돼지국밥,35.63588157,129.4410347,한식,북구,울산광역시 북구 동해안로 1707 (산하동),052-298-0055,돼지국밥/수육
산마루,35.57743515,129.377577,한식,북구,울산광역시 북구 원연암2길 96 지상1층 (연암동),052-289-3377,꿩(샤브쌰브/탕/육회)
부자가,35.62884793,129.3537674,한식,북구,울산광역시 북구 동대15길 21 (호계동(지상1층)),052-282-5233,오리양념불고기/오리탕/오리생소금구이
마굿간,35.62800486,129.3526065,한식,북구,울산광역시 북구 동대3길 15 (호계동 지상1~2층),052-295-6988,구이(쇠고기/삼겹살/돼지갈비)
대흥식육숯불생고기,35.54036334,129.3870197,한식,북구,울산광역시 북구 치전2길 3 (양정동),052-288-0616,구이(소등심/소갈비살삼겹돼지갈비)
대가야삼계탕,35.6288508,129.3520394,한식,북구,울산광역시 북구 동대20길 6 (호계동),052-295-7095,삼계탕/고디탕/찜닭
남해정통해물찜,35.62721298,129.3519271,한식,북구,울산광역시 북구 동대1길 11 (호계동 지상1층),052-282-1225,해물찜/해물곱창
명촌순두부보쌈,35.55929596,129.3574982,한식,북구,울산광역시 북구 명촌로 13 (진장동 지상1층),052-283-1300,보쌈/순두부
충무대구탕,35.5830378,129.3679482,한식,북구,울산광역시 북구 상방2길 19-2 (연암동(1층)),052-288-0919,대구탕/대구볼찜
월내횟집,35.62894619,129.3545579,한식,북구,울산광역시 북구 동대7길 14 (호계동(1층)),052-292-0752,생선회/매운탕
트레비어,35.55719785,129.357196,경양식,북구,울산광역시 북구 명촌로 35 (진장동 지상23층),052-287-5009,감바스/피자/치킨등
원조할매낙지와 화타,35.55753337,129.3565597,한식,북구,울산광역시 북구 명촌로 32 2층 (진장동),052-287-0888,낙지전골/낙지볶음
시루향기,35.62709442,129.3537739,한식,북구,울산광역시 북구 동대14길 10 다동 1층 (호계동),052-297-9080,콩나물국밥
압구정한우국밥명촌점,35.55723748,129.3565957,한식,북구,울산광역시 북구 명촌로 36 (진장동 지상1층),052-288-5358,한우국밥/설렁탕
대방낙지.불쭈꾸미,35.55677476,129.3572317,한식,북구,울산광역시 북구 명촌로 39 (진장동 지상1층),052-288-0989,낙지전골/불쭈꾸미
가고파,35.63465146,129.4421271,한식,북구,울산광역시 북구 동해안로 1692 (산하동(1층)),052-286-4696,가자미국/가자미조림/파전/미주구리회무침등
오남매감자탕명촌점,35.55677173,129.3591071,한식,북구,울산광역시 북구 명촌23길 11 (진장동 지상1층),052-283-0220,뼈다귀해장국/감자탕
배내골참민물장어,35.55896235,129.3577235,한식,북구,울산광역시 북구 명촌3길 7-1 (진장동 지상1층),052-288-5800,장어구이
번지농장,35.55680582,129.359603,한식,북구,울산광역시 북구 명촌23길 7 (진장동 지상1층),052-289-8088,돌판아구불고기/돌판아구찜
마늘보쌈,35.55505295,129.3578829,한식,북구,울산광역시 북구 명촌8길 19 (명촌동 지상1층),052-289-9252,보쌈/오리불고기
본가장수촌,35.56007434,129.3611666,한식,북구,울산광역시 북구 명촌6길 34 (진장동 지상1층),052-287-8200,누룽지백숙/유황오리훈제
강동회수산,35.55406082,129.3583524,한식,북구,울산광역시 북구 명촌7길 32 (명촌동 지상1층),052-289-3387,자연산회
해초,35.55722149,129.3584404,일식,북구,울산광역시 북구 명촌23길 18 (진장동 지상1층),052-283-0029,참치/참가자미회
동해반점,35.63012578,129.3552324,중식,북구,울산광역시 북구 동대중앙로 43 (호계동(지상1층)),052-286-1912,면류/탕수육등
몽중해아구찜,35.55722539,129.3597947,한식,북구,울산광역시 북구 명촌23길 6 (명촌동 지상1층),052-288-7774,아구찜/해물찜갈비찜
어전생복집,35.55777847,129.3600282,한식,북구,울산광역시 북구 명촌5길 27 지상1층 103호 (진장동),052-288-5372,복매운탕복지리
감나무집(명촌점),35.55521345,129.3527968,한식,북구,울산광역시 북구 명촌12길 32 (명촌동 지상1층),052-273-5292,오리탕/오리불고기
cafe제이드dining,35.6262622,129.4423271,경양식,북구,울산광역시 북구 동해안로 1586 (산하동(12층)),052-298-6644,스파게티/피자
멋진녀석들명촌점,35.55602255,129.3557334,한식,북구,울산광역시 북구 명촌15길 5-9 1층 (명촌동),052-289-2929,돼지목살구이/오겹살구이
바다바라기,35.62158518,129.4462715,한식,북구,울산광역시 북구 정자1길 111 (정자동),052-282-8866,생선회생새우조개구이
오방촌,35.55605514,129.3546351,한식,북구,울산광역시 북구 명촌15길 4 (명촌동),052-289-5245,오리얌념불고기훈제
가미횟집,35.55678135,129.3541691,한식,북구,울산광역시 북구 명촌23길 53 (명촌동 1층),052-288-8812,회/매운탕
손영환비빔국수칼국수,35.57474198,129.3569252,분식,북구,울산광역시 북구 진장유통로 46 (진장동 1층),052-289-7891,비빔국수/칼국수
코뚜레,35.62814007,129.3443848,한식,북구,울산광역시 북구 신답1길 9 (상안동 지상2층),052-295-1988,돼지갈비/소/돼지숯불구이
맛나감자탕천곡점,35.63328559,129.3339698,한식,북구,울산광역시 북구 달천로 11 (천곡동 지상2층),052-297-1919,감자탕/뼈해장국/해물뼈찜
도드람마을구이촌,35.64080551,129.3538933,한식,북구,울산광역시 북구 매곡로 89 (매곡동 지상12층),052-293-9922,소고기구이/육회비빔밥/돼기고기구이
중앙암소숯불식당,35.71253832,129.2002299,한식,울주군,울산광역시 울주군 두동면 두동로 1827,052-262-9028,한우불고기
정원숯불구이,35.71386618,129.1997234,한식,울주군,울산광역시 울주군 두동면 두동로 1840,052-262-7404,한우불고기
옹심이칼국수,35.58691674,129.2306692,분식,울주군,울산광역시 울주군 범서읍 두동로 229,052-257-2529,칼국수
종로쭈꾸미굴화점,35.55694835,129.2533193,한식,울주군,울산광역시 울주군 범서읍 백천1길 64,052-224-9596,쭈꾸미볶음
고당운집,35.60854891,129.2783919,한식,울주군,울산광역시 울주군 범서읍 새밭등길 36,052-211-3131,오리불고기
예향정(무거점),35.5515007,129.2522479,한식,울주군,울산광역시 울주군 범서읍 장검길 69-23,052-223-7222,정식
유승추어탕,35.5635386,129.2272439,한식,울주군,울산광역시 울주군 범서읍 천상3길 10-2,052-211-1822,추어탕
갈비구락부,35.56056953,129.1176573,한식,울주군,울산광역시 울주군 삼남면 남상평2길 34-12,052-264-4747,한우불고기
언양암소불고기,35.55812258,129.1185226,한식,울주군,울산광역시 울주군 삼남면 봉화로 14,052-263-1478,한우불고기
신토불이 숯불고기,35.55745278,129.1192303,한식,울주군,울산광역시 울주군 삼남면 봉화로 5,052-263-2666,한우불고기
조금마루,35.56329127,129.1155412,한식,울주군,울산광역시 울주군 삼남면 서상평강변길 9,052-263-7060,오리불고기
언양진미불고기,35.55821913,129.1200594,한식,울주군,울산광역시 울주군 삼남면 중평로 33,052-262-4422,한우불고기
보라가든,35.51051416,129.1465031,한식,울주군,울산광역시 울주군 삼동면 삼동로 580,052-254-0367,아구찜
청수골식당,35.61465282,129.0684079,한식,울주군,울산광역시 울주군 상북면 궁근정2길 3,052-264-5252,오리불고기
박서방,35.55649177,129.0780803,한식,울주군,울산광역시 울주군 상북면 등억알프스로 375,052-263-4772,오리불고기
